wall_time,step,value
1772271043.888907,51,0.0
1772271146.7959538,52,0.0
1772271221.6332417,53,0.0
1772271294.204606,54,0.0
1772271379.5779493,55,0.0
1772271435.7831068,56,0.0
1772271526.3684912,57,0.0
1772271577.4525483,58,0.0
1772271666.8708785,59,0.0
1772271759.8113978,60,0.0
1772271841.022397,61,0.0
1772271905.114565,62,0.0
1772271983.104288,63,0.0
1772272028.1790516,64,0.0
1772272115.727155,65,0.0
1772272144.5346112,66,0.0
1772272193.3994017,67,0.0
1772272267.6454163,68,0.0
1772272296.927686,69,0.0
1772272364.994918,70,0.0
1772272394.584756,71,0.0
1772272467.29536,72,0.0
1772272523.7538104,73,0.0
1772272592.7672422,74,0.0
1772272631.5264623,75,0.0
1772272692.3342927,76,0.0
1772272744.9138765,77,0.0
1772272812.0115876,78,0.0
1772272835.7026203,79,0.0
1772272878.7170415,80,0.0
1772272910.155733,81,0.0
1772272955.3481617,82,0.0
1772272999.7598422,83,0.0
1772273037.6293514,84,0.0
1772273081.2504158,85,0.0
1772273118.0177445,86,0.0
1772273193.112805,87,0.0
1772273254.1180577,88,0.0
1772273364.147684,89,0.0
1772273407.1436388,90,0.0
1772273453.0532045,91,0.0
1772273501.933279,92,0.0
1772273530.1057103,93,0.0
1772273568.644102,94,0.0
1772273596.5838978,95,0.0
1772273618.226021,96,0.0
1772273717.1961474,97,0.0
1772273770.2954683,98,0.0
1772273850.9964943,99,0.0
1772274482.6581433,100,0.0
1772274509.4758308,101,0.0
1772274543.0653954,102,0.0
1772274602.6735349,103,0.0
1772274630.5788186,104,0.0
1772274660.9829218,105,0.0
1772274722.3775713,106,0.0
1772274749.5165534,107,0.0
1772274776.4662688,108,0.0
1772274809.0970519,109,0.0
1772274848.9764607,110,0.0
1772274878.7783303,111,0.0
1772274921.0155082,112,0.0
1772274961.2984693,113,0.0
1772275002.7276564,114,0.0
1772275027.5261278,115,0.0
1772275054.9288979,116,0.0
1772275119.8878722,117,0.0
1772275157.064978,118,0.0
1772275179.2427037,119,0.0
1772275200.5912387,120,0.0
1772275232.636458,121,0.0
1772275261.9102454,122,0.0
1772275309.6326244,123,0.0
1772275341.7679975,124,0.0
1772275384.2013185,125,0.0
1772275447.247298,126,0.0
1772275489.2416499,127,0.0
1772275526.4562917,128,0.0
1772275572.8806932,129,0.0
1772275620.8232477,130,0.0
1772275645.0481231,131,0.0
1772275687.9180162,132,0.0
1772275716.8391194,133,0.0
1772275764.9084399,134,0.0
1772275814.3985314,135,0.0
1772275880.4336753,136,0.0
1772275896.2097766,137,0.0
1772275938.683121,138,0.0
1772275973.5805378,139,0.0
1772276000.8057294,140,0.0
1772276036.3103044,141,0.0
1772276058.8901207,142,0.0
1772276100.4529436,143,0.0
1772276140.6058502,144,0.0
1772276202.0093114,145,0.0
1772276222.2672524,146,0.0
1772276254.2166598,147,0.0
1772276287.26283,148,0.0
1772276319.807033,149,0.0
1772276779.1489367,150,0.0
1772276818.9446533,151,0.0
1772276848.624554,152,0.0
1772276894.3658614,153,0.0
1772276919.8523486,154,0.0
1772276940.9718797,155,0.0
1772276977.8058357,156,0.0
1772277014.606994,157,0.0
1772277054.1893675,158,0.0
1772277090.243565,159,0.0
1772277130.8938942,160,0.0
1772277157.8225305,161,0.0
1772277195.4749413,162,0.0
1772277221.0518224,163,0.0
1772277267.797057,164,0.0
1772277308.147467,165,0.0
1772277342.4617574,166,0.0
1772277383.3272347,167,0.0
1772277411.3483498,168,0.0
1772277445.5672662,169,0.0
