wall_time,step,value
1772271043.889813,51,41.0278434753418
1772271146.7965798,52,41.14348602294922
1772271221.633906,53,41.21532440185547
1772271294.205236,54,41.256797790527344
1772271379.5785685,55,41.25864791870117
1772271435.7838979,56,41.296241760253906
1772271526.3691156,57,41.333831787109375
1772271577.4532073,58,41.30740737915039
1772271666.8717408,59,41.329959869384766
1772271759.8122447,60,41.36499786376953
1772271841.023178,61,41.40922927856445
1772271905.1153615,62,41.413482666015625
1772271983.1049485,63,41.3197135925293
1772272028.179923,64,41.390052795410156
1772272115.7279682,65,41.33748245239258
1772272144.5354345,66,41.35833740234375
1772272193.4003236,67,41.25931930541992
1772272267.6467829,68,41.19435119628906
1772272296.928508,69,41.2918701171875
1772272364.995762,70,41.337120056152344
1772272394.5855982,71,41.337825775146484
1772272467.2961535,72,41.39102554321289
1772272523.7546508,73,41.447837829589844
1772272592.7681496,74,41.400535583496094
1772272631.5272977,75,41.400577545166016
1772272692.3351262,76,41.476173400878906
1772272744.9147441,77,41.5550651550293
1772272812.0125332,78,59.85049057006836
1772272835.7034433,79,70.97925567626953
1772272878.7179646,80,139.85845947265625
1772272910.156643,81,140.493408203125
1772272955.3488727,82,140.5398712158203
1772272999.7609282,83,81.50699615478516
1772273037.6302233,84,70.73350524902344
1772273081.25104,85,65.33773040771484
1772273118.0186236,86,53.72396469116211
1772273193.1135821,87,42.24657440185547
1772273254.1188447,88,51.52164840698242
1772273364.1485193,89,140.70278930664062
1772273407.1446013,90,140.55471801757812
1772273453.0540419,91,72.06155395507812
1772273501.934069,92,77.41632080078125
1772273530.1183877,93,73.55130004882812
1772273568.646059,94,62.1784782409668
1772273596.584777,95,54.95117950439453
1772273618.2267191,96,49.00244140625
1772273717.1968863,97,42.838157653808594
1772273770.2963684,98,41.16839599609375
1772273850.9973032,99,71.95003509521484
1772274482.6590927,100,140.72702026367188
1772274509.4766812,101,86.81614685058594
1772274543.0662236,102,86.77603149414062
1772274602.674332,103,86.88504028320312
1772274630.57959,104,87.37553405761719
1772274660.9837623,105,87.48027038574219
1772274722.378419,106,87.36610412597656
1772274749.5174403,107,86.76896667480469
1772274776.4671116,108,86.75985717773438
1772274809.0978847,109,86.80366516113281
1772274848.9772866,110,86.73594665527344
1772274878.7791584,111,86.76056671142578
1772274921.0163116,112,86.76194763183594
1772274961.299298,113,86.74343872070312
1772275002.728549,114,86.77596282958984
1772275027.5269783,115,87.01434326171875
1772275054.929695,116,108.5169677734375
1772275119.8886821,117,86.69219970703125
1772275157.065815,118,86.76614379882812
1772275179.243572,119,86.8005599975586
1772275200.592024,120,86.81582641601562
1772275232.63732,121,86.80940246582031
1772275261.9108777,122,86.77812194824219
1772275309.6333475,123,86.80766296386719
1772275341.7689064,124,86.86936950683594
1772275384.2020946,125,86.89485931396484
1772275447.248124,126,86.865234375
1772275489.242465,127,86.94129943847656
1772275526.4571059,128,86.95247650146484
1772275572.8815103,129,87.18609619140625
1772275620.824022,130,86.96270751953125
1772275645.0489793,131,87.33462524414062
1772275687.9188843,132,87.29176330566406
1772275716.8400018,133,87.29196166992188
1772275764.9092402,134,87.63938903808594
1772275814.3993533,135,87.68402099609375
1772275880.4343915,136,87.64959716796875
1772275896.2105336,137,86.92097473144531
1772275938.68373,138,86.92093658447266
1772275973.5811832,139,87.23379516601562
1772276000.8063593,140,87.69036865234375
1772276036.3110116,141,89.2220458984375
1772276058.8908186,142,89.22871398925781
1772276100.453562,143,89.27828979492188
1772276140.6065044,144,89.24958801269531
1772276202.0100079,145,89.30096435546875
1772276222.2679088,146,89.28813171386719
1772276254.2174923,147,89.31880950927734
1772276287.2635202,148,89.35417175292969
